ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
2450	Tiranige_Diga	NIGHT	yà:gù	j aː ¹ ɡ u ¹	5003	j ( - ) aː ¹ ɡ u ¹	6 7 8 1 7 8	AXTBYT	JA6KY6	17	17.J.C 17.A.V 17.6.T 17.K.C 17.Y.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2451	Bangime	NIGHT	jììjè	dʒ iː ¹ dʒ e ¹	150	j iː ¹ j e ¹	1 7 8 1 7 8	AXTBYT	TI6TE6	1	1.T.C 1.I.V 1.6.T 1.T.C 1.E.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2452	Jamsay	NIGHT	dà:ɣá	d aː ¹ ɣ a ⁵	149	d aː ¹ ɣ a ⁵	1 7 8 3 7 8	AXTBYT	TA6GA6	9	9.T.C 9.A.V 9.6.T 9.G.C 9.A.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2453	Perge_Tegu	NIGHT	dɛ̀:gɛ́	d ɛː ¹ ɡ ɛ ⁵	147	d ɛː ¹ ɡ ɛ ⁵	1 7 8 1 7 8	AXTBYT	TE6KE6	14	14.T.C 14.E.V 14.6.T 14.K.C 14.E.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2454	Toro_Tegu	NINE	lá:rà	l aː ⁵ r a ¹	151	l aː ⁵ r a ¹ ?- ?- ?-	5 7 8 5 7 8	AXTBYT	LA6RA6	21	21.L.C 21.A.V 21.6.T 21.R.C 21.A.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2455	Ben_Tey	NINE	tè:sǐm	t eː ¹ s i ¹⁵ m	153	t eː ¹ s i ¹⁵ ( + m )	1 7 8 3 7 8 4	AXTBYTN	TE6SI2M	3	3.T.C 3.E.V 3.6.T 3.S.C 3.I.V 3.2.T 3.M.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0
2456	Bankan_Tey	NINE	tè:súm	t eː ¹ s u ⁵ m	153	t eː ¹ s u ⁵ ( + m )	1 7 8 3 7 8 4	AXTBYTN	TE6SY6M	2	2.T.C 2.E.V 2.6.T 2.S.C 2.Y.V 2.6.T 2.M.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0
2457	Nanga	NINE	tè:sǐ:	t eː ¹ s iː ¹⁵	153	t eː ¹ s iː ¹⁵ ( - - )	1 7 8 3 7 8	AXTBYT	TE6SI2	12	12.T.C 12.E.V 12.6.T 12.S.C 12.I.V 12.2.T	1.6 3.0 1.0 1.3 3.0 1.0	0
2458	Perge_Tegu	NINE	lá:rwà	l aː ⁵ r w a ¹	151	l aː ⁵ r ?- ?- w a ¹	5 7 8 5 6 7 8	AXTBCYT	LA6RWA6	14	14.L.C 14.A.V 14.6.T 14.R.C 14.W.C 14.A.V 14.6.T	1.6 3.0 1.0 1.3 1.2 3.0 1.0	0
2459	Gourou	NINE	lá:rúwà	l aː ⁵ r u ⁵ w a ¹	151	l aː ⁵ r u ⁵ w a ¹	5 7 8 5 7 8 6 7 8	AXTBYTBYT	LA6RY6WA6	7	7.L.C 7.A.V 7.6.T 7.R.C 7.Y.V 7.6.T 7.W.C 7.A.V 7.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
